year,title,url,reviews,audience_score,tomatometer,synopsis,rating,genre,original_language,director,producer,writer,release_date_theaters,release_date_streaming,runtime,distributor,aspect_ratio,production_co,split_runtime_hours,split_runtime_mins,runtime_mins
2020,The Assistant,/m/the_assistant_2020,236,25,92.0,"Jane, a recent college graduate and aspiring film producer, just landed her dream job as a junior assistant to a powerful entertainment mogul. Her day is much like any other assistant -- making coffee, ordering lunch, arranging travel accommodations and taking phone messages. But as Jane follows her daily routine, she grows increasingly aware of the abuse that insidiously colors every aspect of her workday, an accumulation of degradations against which she decides to take a stand.",R (Some Language),Drama,English,Kitty Green,"James Schamus, 



Scott Macaulay, 



P. Jennifer Dana",Kitty Green,2020-01-31,2020-04-28,1h 27m,Bleecker Street Media,Scope (2.351),Pixar,1.0,27.0,87.0
2020,Mucho Mucho Amor: The Legend of Walter Mercado,/m/mucho_mucho_amor,63,92,100.0,"Puerto Rican astrologer and psychic Walter Mercado discusses his life, career and post-fame seclusion.",R (Some Language),Documentary,English,"Cristina Constantini, 



Kareem Tabsch","Cristina Costantini, 



Alex Fumero, 



Kareem Tabsch",Kitty Green,2020-01-31,2020-07-08,1h 36m,Bleecker Street Media,Scope (2.351),Pixar,1.0,36.0,96.0
2020,The Truffle Hunters,/m/the_truffle_hunters,125,77,97.0,"A handful of men search for rare, expensive and delicious white Alba truffles deep in the forests of Piedmont, Italy.",PG-13 (Some Strong Language),Documentary,Italian,"Michael Dweck, 



Gregory Kershaw","Michael Dweck, 



Gregory Kershaw",Kitty Green,2021-03-05,2021-08-17,1h 24m,Sony Pictures Classics,Flat (1.851),Pixar,1.0,24.0,84.0
2020,Relic,/m/relic,232,51,92.0,A woman links her mother's increasingly volatile behavior to an evil presence at their family's decaying country home.,R (Some Horror Violence|Language|Disturbing Images),"Drama, 
                        
                        Horror",English,Natalie Erika James,Jake Gyllenhaal,"Natalie Erika James, 



Christian White",2020-07-10,2020-06-26,1h 29m,IFC Midnight,Scope (2.351),Pixar,1.0,29.0,89.0
2020,Athlete A,/m/athlete_a,57,92,100.0,Reporters from The Indianapolis Star expose Dr. Larry Nassar's sexual abuse of young gymnasts.,PG-13 (Descriptions of Sexual Abuse|Mature Thematic Content),Documentary,English,"Bonni Cohen, 



Jon Shenk","Serin Marshall, 



Jen Sey, 



Julie Parker Benello","Natalie Erika James, 



Christian White",2020-07-10,2020-06-25,1h 43m,IFC Midnight,Scope (2.351),Pixar,1.0,43.0,103.0
2020,Driveways,/m/driveways,78,83,99.0,A lonely boy goes with his mother to help clean out his late aunt's house.,PG-13 (Descriptions of Sexual Abuse|Mature Thematic Content),Drama,English,Andrew Ahn,"Serin Marshall, 



Jen Sey, 



Julie Parker Benello","Hannah Bos, 



Paul Thureen",2020-07-10,2020-05-08,1h 23m,IFC Midnight,Scope (2.351),Pixar,1.0,23.0,83.0
2020,Corpus Christi (Boze cialo),/m/corpus_christi_2020,99,93,98.0,"A reformed criminal is prevented from applying to the seminary after his release, so he dresses as a priest and ministers a small town parish.",PG-13 (Descriptions of Sexual Abuse|Mature Thematic Content),Drama,Polish,Jan Komasa,"Leszek Bodzak, 



Aneta Cebula-Hickinbotham, 



Krzysztof Rak",Mateusz Pacewicz,2020-02-24,2020-05-22,1h 35m,Film Movement,Scope (2.351),Pixar,1.0,35.0,95.0
2020,A Secret Love,/m/a_secret_love,54,91,100.0,A former baseball player keeps her lesbian relationship a secret from her family for seven decades.,PG-13 (Descriptions of Sexual Abuse|Mature Thematic Content),"Lgbtq+, 
                        
                        Drama, 
                        
                        Documentary",English,Chris Bolan,"Alexa L. Fogel, 



Brendan Mason, 



Ryan Murphy","Chris Bolan, 



Alexa L. Fogel",2020-02-24,2020-04-29,1h 23m,Film Movement,Scope (2.351),Pixar,1.0,23.0,83.0
2020,On the Record,/m/on_the_record,73,83,99.0,Filmmakers Kirby Dick and Amy Ziering examine the sexual assault allegations against hip-hop mogul Russell Simmons.,PG-13 (Descriptions of Sexual Abuse|Mature Thematic Content),Documentary,English,"Kirby Dick, 



Amy Ziering","Jamie Rogers, 



Kirby Dick, 



Amy Herdy","Kirby Dick, 



Sara Newens, 



Amy Ziering",2020-02-24,2020-05-27,1h 35m,Film Movement,Scope (2.351),Pixar,1.0,35.0,95.0
2020,Extra Ordinary,/m/extra_ordinary,94,77,98.0,A woman who has supernatural abilities must save a possessed girl.,R (Some Horror Violence|Sexual Content|Language),"Comedy, 
                        
                        Fantasy",English (United Kingdom),"Michael Ahern, 



Enda Loughman","Katie Holly, 



Yvonne Donohoe, 



Mary McCarthy",Enda Loughman,2020-03-06,2020-01-13,1h 34m,Good Deed Entertainment,Scope (2.351),Pixar,1.0,34.0,94.0
